휴게소명,도로노선번호,도로노선명,도로노선방향,latitude,longitude,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,약국유무,휴게소대표음식명,휴게소전화번호,데이터기준일자
행담도,15,서해안선,양방향,36.944819,126.807525,일반휴게소,0:00,23:59,202440,1729,Y,Y,Y,Y,Y,,041-358-0700,2021-08-09
현풍(대구),451,중부내륙지선,상행,35.701841,128.4381001,일반휴게소,0:00,23:59,21068,96,N,Y,Y,Y,N,,053-615-0337,2021-08-09
현풍(창원),451,중부내륙지선,하행,35.701783,128.435359,일반휴게소,0:00,23:59,47569,87,N,Y,Y,Y,N,,053-614-2436,2021-08-09
홍성(목포),15,서해안선,하행,36.552584,126.579514,일반휴게소,0:00,23:59,54324,214,N,Y,Y,Y,N,,041-642-1151,2021-08-09
홍성(서울),15,서해안선,상행,36.5524301,126.5818701,일반휴게소,0:00,23:59,49784,214,N,Y,Y,Y,N,,041-642-1172,2021-08-09
홍천(서울),60,서울양양선,하행,37.758898,128.0065801,일반휴게소,0:00,23:59,42203,188,N,Y,Y,Y,N,,033-436-9000,2021-08-09
홍천(양양),60,서울양양선,상행,37.757369,128.003099,일반휴게소,0:00,23:59,42378,160,N,Y,Y,Y,N,,033-436-3000,2021-08-09
홍천강(춘천),55,중앙선,상행,37.712386,127.827719,일반휴게소,0:00,23:59,23928,142,N,Y,Y,Y,N,,033-435-1201,2021-08-09
화서(영덕),30,당진영덕선,상행,36.444053,127.922637,일반휴게소,0:00,23:59,64043,150,N,Y,Y,Y,N,,054-531-1982,2021-08-09
화성(목포),15,서해안선,하행,37.143612,126.8790801,일반휴게소,0:00,23:59,81664,623,N,Y,Y,Y,N,,031-353-8140,2021-08-09
화성(서울),15,서해안선,상행,37.143497,126.881289,일반휴게소,0:00,23:59,55517,414,N,Y,Y,Y,N,,031-353-8143,2021-08-09
황간(부산),1,경부선,하행,36.248899,127.8526701,일반휴게소,0:00,23:59,43386,133,N,Y,Y,Y,N,,043-742-5805,2021-08-09
황간(서울),1,경부선,상행,36.249437,127.854835,일반휴게소,0:00,23:59,32652,104,N,Y,N,Y,N,,043-742-7633,2021-08-09
황전(순천),27,순천완주선,하행,35.148905,127.454145,일반휴게소,0:00,23:59,26097,98,N,Y,Y,Y,N,,061-782-1135,2021-08-09
황전(완주),27,순천완주선,상행,35.153306,127.454683,일반휴게소,0:00,23:59,34013,99,N,Y,Y,Y,N,,061-782-1154,2021-08-09
횡성(강릉),50,영동선,상행,37.462755,128.133969,일반휴게소,0:00,23:59,47509,235,N,Y,Y,Y,N,,033-342-4231,2021-08-09
횡성(인천),50,영동선,하행,37.464983,128.135449,일반휴게소,0:00,23:59,28345,151,N,Y,Y,Y,N,,033-344-3832,2021-08-09
